episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
38,KKR,KKR,1477.0979,564.0,0.0,0.0,200.0,0.0,-5.0,150.0,0.0,2386.0979,38.1,3,0.5
38,DC,DC,2078.0335,594.0,0.0,0.0,240.0,0.0,15.0,55.0,0.0,2982.0335,54.6,7,1.0
38,RR,RR,1760.3943,210.0,0.0,0.0,130.0,-10.0,-5.0,105.0,0.0,2190.3943,76.5,5,0.6875
38,PBKS,PBKS,1140.6564,480.0,0.0,0.0,140.0,0.0,15.0,230.0,0.0,2005.6564,43.1,1,0.75
38,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,0.0,55.0,61.1,8,1.0
29,MI,MI,609.0923,696.0,0.0,0.0,230.0,0.0,-5.0,135.0,0.0,1665.0923,0.56,4,0.6875
29,CSK,CSK,1234.6778,108.0,0.0,0.0,70.0,-10.0,-5.0,70.0,0.0,1467.6778,76.1,7,0.5625
29,RCB,RCB,523.0529,738.0,0.0,0.0,200.0,0.0,-5.0,300.0,0.0,1756.0529,1.18,2,0.875
29,KKR,KKR,1934.2408,708.0,0.0,0.0,220.0,0.0,-5.0,55.0,0.0,2912.2408,49.7,8,0.4375
29,DC,DC,2247.6404,528.0,0.0,0.0,190.0,0.0,15.0,90.0,0.0,3070.6404,54.7,6,1.0
29,RR,RR,1291.9153,168.0,0.0,0.0,100.0,-10.0,-5.0,105.0,0.0,1649.9153,73.3,5,0.5625
29,PBKS,PBKS,1765.681,498.0,0.0,0.0,190.0,0.0,-5.0,215.0,0.0,2663.681,54.1,1,0.75
29,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,15.0,150.0,0.0,165.0,65.8,3,1.0
28,MI,MI,609.0923,696.0,0.0,0.0,230.0,0.0,-5.0,135.0,0.0,1665.0923,0.56,4,0.6875
28,CSK,CSK,1234.6778,108.0,0.0,0.0,70.0,-10.0,-5.0,70.0,0.0,1467.6778,76.1,7,0.5625
28,RCB,RCB,523.0529,738.0,0.0,0.0,200.0,0.0,-5.0,300.0,0.0,1756.0529,1.18,2,0.875
28,KKR,KKR,1934.2408,708.0,0.0,0.0,220.0,0.0,-5.0,55.0,0.0,2912.2408,49.7,8,0.4375
28,DC,DC,2247.6404,528.0,0.0,0.0,190.0,0.0,15.0,90.0,0.0,3070.6404,54.7,6,1.0
